series_id,reading_id,wavelength_nm,value
pr655,repeat_04,720,0.0189800002
pr655,repeat_04,724,0.0183499996
pr655,repeat_04,728,0.0172199998
pr655,repeat_04,732,0.0162400007
pr655,repeat_04,736,0.0158699993
pr655,repeat_04,740,0.016070000800000001
pr655,repeat_04,744,0.0157699995
pr655,repeat_04,748,0.0163800009
pr655,repeat_04,752,0.0181000009
pr655,repeat_04,756,0.021080000299999999
pr655,repeat_04,760,0.0204099994
pr655,repeat_04,764,0.0189299993
pr655,repeat_04,768,0.019390000000000001
pr655,repeat_04,772,0.018899999600000002
pr655,repeat_04,776,0.016519999099999998
pr655,repeat_04,780,0.0143400002
pr655,repeat_05,380,0.00019760000600000001
pr655,repeat_05,384,0.000194699998
pr655,repeat_05,388,0.000193500004
pr655,repeat_05,392,0.00024630001300000003
pr655,repeat_05,396,0.00039030000299999999
pr655,repeat_05,400,0.001193
pr655,repeat_05,404,0.00335299992
pr655,repeat_05,408,0.00683999993
pr655,repeat_05,412,0.012059999599999999
pr655,repeat_05,416,0.016979999799999999
pr655,repeat_05,420,0.021069999799999999
pr655,repeat_05,424,0.024560000700000001
pr655,repeat_05,428,0.0255999994
pr655,repeat_05,432,0.0274400003
pr655,repeat_05,436,0.030039999599999999
pr655,repeat_05,440,0.0286400001
pr655,repeat_05,444,0.027879999999999999
pr655,repeat_05,448,0.027720000599999999
pr655,repeat_05,452,0.028610000399999998
pr655,repeat_05,456,0.0309699997
pr655,repeat_05,460,0.033169999700000001
pr655,repeat_05,464,0.033739998899999998
pr655,repeat_05,468,0.033349998300000003
pr655,repeat_05,472,0.033050000699999998
pr655,repeat_05,476,0.032499998799999999
pr655,repeat_05,480,0.032010000199999999
pr655,repeat_05,484,0.0314799994
pr655,repeat_05,488,0.032559998299999997
pr655,repeat_05,492,0.033569999000000003
pr655,repeat_05,496,0.034249998599999998
pr655,repeat_05,500,0.035549998300000003
pr655,repeat_05,504,0.038029998500000002
pr655,repeat_05,508,0.037009999199999997
pr655,repeat_05,512,0.035489998799999999
pr655,repeat_05,516,0.035650000000000001
pr655,repeat_05,520,0.0354400016
pr655,repeat_05,524,0.035310000199999997
pr655,repeat_05,528,0.038789998700000002
pr655,repeat_05,532,0.05339
pr655,repeat_05,536,0.075199998899999995
pr655,repeat_05,540,0.073629997700000005
pr655,repeat_05,544,0.060720000400000002
pr655,repeat_05,548,0.049509998399999998
pr655,repeat_05,552,0.040429998199999997
pr655,repeat_05,556,0.039889998699999998
pr655,repeat_05,560,0.042279999700000001
pr655,repeat_05,564,0.047279998699999999
pr655,repeat_05,568,0.051690000999999999
pr655,repeat_05,572,0.048179999000000001
pr655,repeat_05,576,0.046679999700000002
pr655,repeat_05,580,0.046629998800000003
pr655,repeat_05,584,0.050689998999999999
pr655,repeat_05,588,0.057689998300000003
pr655,repeat_05,592,0.073720000699999996
pr655,repeat_05,596,0.080269999800000005
pr655,repeat_05,600,0.071800001000000002
pr655,repeat_05,604,0.063309997300000004
pr655,repeat_05,608,0.063359998200000003
pr655,repeat_05,612,0.065420001699999994
pr655,repeat_05,616,0.060660000899999997
pr655,repeat_05,620,0.054179999999999999
pr655,repeat_05,624,0.0526800007
pr655,repeat_05,628,0.052790001000000003
pr655,repeat_05,632,0.050760000899999998
pr655,repeat_05,636,0.0501900017
pr655,repeat_05,640,0.0497299992
pr655,repeat_05,644,0.0502300002
pr655,repeat_05,648,0.047529999199999999
pr655,repeat_05,652,0.0435900018
pr655,repeat_05,656,0.044799998399999999
pr655,repeat_05,660,0.044780001
pr655,repeat_05,664,0.042899999799999998
pr655,repeat_05,668,0.0408900008
pr655,repeat_05,672,0.038849998300000001
pr655,repeat_05,676,0.038290001499999997
pr655,repeat_05,680,0.038499999799999997
pr655,repeat_05,684,0.038959998599999997
pr655,repeat_05,688,0.033420000200000001
pr655,repeat_05,692,0.030220000100000002
pr655,repeat_05,696,0.029030000800000001
pr655,repeat_05,700,0.0264299996
pr655,repeat_05,704,0.0233699996
pr655,repeat_05,708,0.021460000399999998
pr655,repeat_05,712,0.020579999299999999
pr655,repeat_05,716,0.019589999699999999
pr655,repeat_05,720,0.018890000899999999
pr655,repeat_05,724,0.018169999100000001
pr655,repeat_05,728,0.0169600006
pr655,repeat_05,732,0.015949999900000001
pr655,repeat_05,736,0.015680000199999999
pr655,repeat_05,740,0.0157099999
pr655,repeat_05,744,0.0154299997
pr655,repeat_05,748,0.016030000499999999
pr655,repeat_05,752,0.017769999799999998
pr655,repeat_05,756,0.020719999400000001
pr655,repeat_05,760,0.020239999500000001
pr655,repeat_05,764,0.0183499996
pr655,repeat_05,768,0.0188200008
pr655,repeat_05,772,0.018279999500000001
pr655,repeat_05,776,0.016189999900000002
pr655,repeat_05,780,0.014050000300000001
pr655,repeat_06,380,0.00026000000099999997
pr655,repeat_06,384,0.00027359998799999998
pr655,repeat_06,388,0.00032540000399999998
pr655,repeat_06,392,0.00027789999100000001
pr655,repeat_06,396,0.00044520001399999998
pr655,repeat_06,400,0.00127200002
pr655,repeat_06,404,0.0034030000699999999
pr655,repeat_06,408,0.0068520000200000004
pr655,repeat_06,412,0.0121200001
pr655,repeat_06,416,0.017060000400000001
pr655,repeat_06,420,0.021150000400000001
pr655,repeat_06,424,0.024639999499999999
pr655,repeat_06,428,0.025690000500000001
pr655,repeat_06,432,0.0275599994
pr655,repeat_06,436,0.030169999199999999
pr655,repeat_06,440,0.028759999200000001
pr655,repeat_06,444,0.0279600006
pr655,repeat_06,448,0.027850000199999999
pr655,repeat_06,452,0.028740000000000002
pr655,repeat_06,456,0.0310999993
pr655,repeat_06,460,0.033349998300000003
pr655,repeat_06,464,0.033900000200000002
pr655,repeat_06,468,0.033500000799999999
pr655,repeat_06,472,0.0332099982
pr655,repeat_06,476,0.032699998500000001
pr655,repeat_06,480,0.032170001400000002
pr655,repeat_06,484,0.031629998200000002
pr655,repeat_06,488,0.032740000599999999
pr655,repeat_06,492,0.033759999999999998
pr655,repeat_06,496,0.0344399996
pr655,repeat_06,500,0.035739999299999999
pr655,repeat_06,504,0.038249999299999997
pr655,repeat_06,508,0.037220001199999998
pr655,repeat_06,512,0.035689998399999999
pr655,repeat_06,516,0.035849999600000002
pr655,repeat_06,520,0.035659998700000001
pr655,repeat_06,524,0.035530000899999997
pr655,repeat_06,528,0.039009999500000003
pr655,repeat_06,532,0.0536199994
pr655,repeat_06,536,0.075489997899999994
pr655,repeat_06,540,0.074029997
pr655,repeat_06,544,0.061140000799999997
pr655,repeat_06,548,0.049860000600000003
pr655,repeat_06,552,0.040660001299999998
pr655,repeat_06,556,0.040139999199999998
pr655,repeat_06,560,0.042520001500000001
pr655,repeat_06,564,0.047550000299999999
pr655,repeat_06,568,0.051970001299999999
pr655,repeat_06,572,0.048439998200000001
pr655,repeat_06,576,0.046939998900000002
pr655,repeat_06,580,0.046909999100000002
pr655,repeat_06,584,0.050949998199999999
pr655,repeat_06,588,0.057930000099999997
pr655,repeat_06,592,0.074000000999999996
pr655,repeat_06,596,0.080619998299999995
pr655,repeat_06,600,0.072140000800000006
pr655,repeat_06,604,0.063600003700000005
pr655,repeat_06,608,0.0637300014
pr655,repeat_06,612,0.065870001900000003
pr655,repeat_06,616,0.061039999099999999
pr655,repeat_06,620,0.054489999999999997
pr655,repeat_06,624,0.052979998299999997
pr655,repeat_06,628,0.053100001100000002
pr655,repeat_06,632,0.051029998799999997
pr655,repeat_06,636,0.050489999399999999
pr655,repeat_06,640,0.050020001799999998
pr655,repeat_06,644,0.050510000399999998
pr655,repeat_06,648,0.047830000499999997
pr655,repeat_06,652,0.043889999399999997
pr655,repeat_06,656,0.045040000199999999
pr655,repeat_06,660,0.044959999600000002
pr655,repeat_06,664,0.043159998999999998
pr655,repeat_06,668,0.041140001299999999
pr655,repeat_06,672,0.039140000899999999
pr655,repeat_06,676,0.0386300012
