group_id,repeat_index,canonical_path,sha256,alias_paths
scene_10,2,PRD measurments/PRD_20.mat,079fc77059a56c7c8211497546c77107b0683bb263bef3958ad469c6ae85e55a,PRD measurments copy/PRD2scene10.mat
scene_11,1,PRD measurments/PRD_21.mat,2679ae90df020a2f24d41c29daad6e6c7d7678f521fd258fde6e85c93d552289,PRD measurments copy/PRD1scene11.mat
scene_11,2,PRD measurments/PRD_22.mat,460de3f9d152348c7b711629033ae4d25b3c6c129557e17129974391de56a526,PRD measurments copy/PRD2scene11.mat
scene_12,1,PRD measurments/PRD_23.mat,9596cc38c1433825f016184aa529ac5de59e0af8bcc052def8d94f3028e63ec9,PRD measurments copy/PRD1scene12.mat
scene_12,2,PRD measurments/PRD_24.mat,f64a07a3050bf5956870bbbde545905da5892aef949a0d3f47e136c32d4a227b,PRD measurments copy/PRD2scene12.mat
scene_13,1,PRD measurments/PRD_25.mat,8fa10e6752cef76a219a3eb23bda5755c68cc0b167cbe0252d2defa44aae0c43,PRD measurments copy/PRD1scene13.mat
scene_13,2,PRD measurments/PRD_26.mat,8d95e643c1eb385f93cd01a15b96c829109e1a31b5777f43c1e861345adb390f,PRD measurments copy/PRD2scene13.mat
scene_14,1,PRD measurments/PRD_27.mat,d46fb44dc77942f6263540e00bac794ce62b29f377ebb29174f9f1c9efd7b553,PRD measurments copy/PRD1scene14.mat
scene_14,2,PRD measurments/PRD_28.mat,26b682d6fbd22acd116e27df09f62c1ac2e4660b504cf334e1b40a7c96f5a66c,PRD measurments copy/PRD2scene14.mat
scene_15,1,PRD measurments/PRD_29.mat,4dac1e3dd6036caec4f91c4d6bb4623348236d5516115ec27d4eeb48b7c608c8,PRD measurments copy/PRD1scene15.mat
scene_15,2,PRD measurments/PRD_30.mat,5420687064bcf35eb91213412fbfe0527f09221b19698af061cd3fe79cea6209,PRD measurments copy/PRD2scene15.mat
scene_16,1,PRD measurments/PRD_31.mat,ebfee99ef1a23e5ecee83f2969fdf3593234f30a978836d15b4a785a43539048,PRD measurments copy/PRD1scene16.mat
scene_16,2,PRD measurments/PRD_32.mat,3e4820537c25f2b09d0647a9c423a3b61b30689f00e556a4a30d2e456bf9d316,PRD measurments copy/PRD2scene16.mat
scene_17,1,PRD measurments/PRD_33.mat,084224e8328a3550edec36bb47da3cf355c70eadf5ea49c39bc69a1d24e7766d,PRD measurments copy/PRD1scene17.mat
scene_17,2,PRD measurments/PRD_34.mat,d143bb4d7073ef5a96da1e70e4dc3dbc5061d748fa54785a1215399a72ae019d,PRD measurments copy/PRD2scene17.mat
scene_18,1,PRD measurments/PRD_35.mat,bf148c84d6b1145b4fe261b6c2c2a5efac3b5ef03a86fe3bc82123f4aee0d142,PRD measurments copy/PRD1scene18.mat
